City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Cristobal,75,VE,1584157414,69,7.77,-72.22,80.6,2.24
Mercedes,16,AR,1584157416,87,-34.65,-59.43,81.0,1.99
Caravelas,99,BR,1584157417,77,-17.71,-39.25,80.31,6.62
Kikwit,95,CD,1584157418,98,-5.04,18.82,69.94,1.14
Coahuayana Viejo,40,MX,1584157419,94,18.73,-103.68,71.6,1.34
Benghazi,2,LY,1584157421,82,32.12,20.07,61.05,9.73
Norman Wells,75,CA,1584157277,77,65.28,-126.83,6.8,4.7
Te Anau,100,NZ,1584157423,62,-45.42,167.72,59.54,4.99
Port Moresby,75,PG,1584157424,79,-9.44,147.18,84.2,17.22
Soanierana Ivongo,75,MG,1584157425,94,-16.92,49.58,78.8,11.97
Susanville,1,US,1584157426,71,40.42,-120.65,48.2,14.99
Erzin,75,TR,1584157427,77,36.96,36.2,61.0,9.17
Kanigoro,24,ID,1584157429,65,-8.13,112.22,85.86,4.09
Airai,12,TL,1584157431,45,-8.93,125.41,82.4,7.11
Changji,0,CN,1584157432,55,44.02,87.32,37.4,2.24
Najrān,97,SA,1584157433,31,17.49,44.13,64.4,9.57
Russell,75,US,1584157434,88,32.35,-85.2,68.0,4.9
Kargasok,4,RU,1584157435,82,59.06,80.86,24.31,14.63
Kasamatsu,75,JP,1584157436,87,35.37,136.76,48.2,6.93
Vostok,99,RU,1584157437,84,46.49,135.88,20.01,8.16
Hobbs,75,US,1584157438,100,32.7,-103.14,51.01,12.75
Willmar,75,US,1584157439,79,45.12,-95.04,28.4,9.17
Zamora,77,EC,1584157294,96,-4.07,-78.96,55.78,2.64
Esperance,75,AU,1584157441,73,-33.87,121.9,69.8,13.87
Qingyuan,24,CN,1584157287,49,23.7,113.03,71.6,11.18
Mattru,0,SL,1584157443,87,7.62,-11.83,77.41,2.93
Tiksi,0,RU,1584157445,82,71.69,128.87,-15.86,4.47
Ekibastuz,3,KZ,1584157446,77,51.67,75.37,23.36,18.21
Alvorada,61,BR,1584157447,86,-12.48,-49.12,75.4,3.27
Terney,23,RU,1584157448,65,45.05,136.61,28.71,4.97
Wakkanai,75,JP,1584157449,58,45.41,141.67,30.2,25.28
Iqaluit,5,CA,1584157450,61,63.75,-68.51,-23.01,13.87
Nishihara,75,JP,1584157451,72,26.18,127.76,66.2,27.51
Sisimiut,100,GL,1584157452,96,66.94,-53.67,-1.05,4.27
Bolitoc,100,PH,1584157453,61,15.74,119.88,83.48,8.25
Saskylakh,33,RU,1584157454,90,71.92,114.08,-15.9,19.19
Altay,0,CN,1584157363,54,47.87,88.12,24.71,3.36
Isangel,75,VU,1584157456,63,-19.55,169.27,91.4,11.41
Montepuez,100,MZ,1584157459,99,-13.13,39.0,69.15,3.56
Chifeng,0,CN,1584157461,32,42.27,118.96,35.94,21.14
Klaeng,13,TH,1584157462,62,12.78,101.65,90.0,7.16
Derzhavīnsk,97,KZ,1584157463,97,51.1,66.32,33.89,17.18
Dikson,100,RU,1584157464,96,73.51,80.55,31.8,20.6
Bow Island,90,CA,1584157465,66,49.87,-111.37,12.2,20.8
Ferrol,90,ES,1584157466,100,43.48,-8.24,46.0,5.82
Ormara,0,PK,1584157467,58,25.21,64.64,71.22,2.91
Baykalovo,100,RU,1584157468,88,57.4,63.77,37.18,16.93
Belmonte,40,BR,1584157469,94,-15.86,-38.88,75.2,3.36
Vao,100,NC,1584157470,89,-22.67,167.48,78.58,11.3
Honningsvåg,100,NO,1584157471,71,70.98,25.97,21.02,17.25
Saint Anthony,1,US,1584157472,63,45.02,-93.22,28.99,8.05
Barcelos,0,PT,1584157474,93,41.54,-8.62,51.01,3.36
Luangwa,99,ZM,1584157475,94,-15.62,30.42,67.15,2.01
Broken Hill,0,AU,1584157476,25,-31.95,141.43,66.2,24.16
Nemuro,20,JP,1584157477,43,43.32,145.57,35.6,6.93
Bintulu,75,MY,1584157478,83,3.17,113.03,84.2,5.82
Ribeira Grande,64,PT,1584157479,78,38.52,-28.7,56.14,4.56
Korsakov,40,RU,1584157480,74,46.63,142.78,28.4,11.18
Lakes Entrance,100,AU,1584157481,53,-37.88,147.98,63.0,3.0
Morki,100,RU,1584157482,83,56.43,48.99,33.76,10.27
Malinyi,99,TZ,1584157483,97,-8.93,36.13,71.28,0.94
Saldanha,51,ZA,1584157484,88,-33.01,17.94,62.6,5.82
Bengkulu,100,ID,1584157486,59,-3.8,102.27,87.53,3.0
Mareeba,40,AU,1584157488,52,-17.0,145.43,89.6,9.17
Le Locle,100,CH,1584157489,75,47.06,6.75,37.99,1.12
Batavia,1,US,1584157311,59,41.85,-88.31,43.0,4.7
Cidreira,0,BR,1584157258,89,-30.18,-50.21,75.36,15.64
Krasnyy Yar,40,RU,1584157492,66,46.53,48.35,35.6,6.71
Quryq,50,KZ,1584157493,69,43.2,51.65,53.02,24.85
Alofi,100,NU,1584157495,94,-19.06,-169.92,80.6,9.17
Winnemucca,1,US,1584157496,19,40.97,-117.74,54.0,11.41
Berlevåg,100,NO,1584157497,74,70.86,29.09,20.86,25.9
Lompoc,90,US,1584157498,81,34.64,-120.46,57.2,6.93
Krasnovishersk,100,RU,1584157499,98,60.41,57.08,32.04,12.68
Oxelösund,0,SE,1584157500,49,58.67,17.1,26.6,10.29
Seoul,1,KR,1584157233,33,37.57,126.98,46.4,5.82
Yar-Sale,100,RU,1584157503,98,66.83,70.83,31.78,14.52
Buala,100,SB,1584157504,75,-8.14,159.59,83.73,13.24
Mabaruma,33,GY,1584157505,98,8.2,-59.78,71.44,1.66
Miepherkeim,75,TR,1584157506,93,38.14,41.01,51.8,11.41
Chokurdakh,100,RU,1584157507,96,70.63,147.92,-15.59,9.22
São Filipe,100,CV,1584157508,57,14.9,-24.5,75.06,12.8
Lumeje,100,AO,1584157509,95,-11.55,20.78,66.78,6.53
Pemangkat,100,ID,1584157510,75,1.17,108.97,82.99,3.78
Hofn,6,IS,1584157459,63,64.25,-15.21,33.69,14.76
Sfântu Gheorghe,39,RO,1584157513,77,45.87,25.78,39.99,4.0
Nouadhibou,0,MR,1584157514,68,20.93,-17.03,68.0,8.05
Banda Aceh,0,ID,1584157417,66,5.56,95.32,84.42,5.53
Batouri,2,CM,1584157516,31,4.43,14.37,70.21,3.15
Westport,1,US,1584157517,32,41.14,-73.36,55.4,14.99
Campbell River,20,CA,1584157518,45,50.02,-125.24,39.2,11.41
Grindavik,75,IS,1584157519,74,63.84,-22.43,28.4,13.87
Pandrup,0,DK,1584157520,84,57.22,9.68,28.0,3.0
Point Pedro,100,LK,1584157521,72,9.82,80.23,81.43,13.76
Port Lincoln,62,AU,1584157522,62,-34.73,135.87,62.31,16.98
Omsukchan,67,RU,1584157523,90,62.53,155.8,-11.81,7.63
Požarevac,38,RS,1584157524,100,44.62,21.18,37.99,3.36
Arlit,0,NE,1584157525,18,18.74,7.39,61.84,5.73
Umeå,0,SE,1584157527,67,63.83,20.26,19.4,13.87
Ketchikan,1,US,1584157528,70,55.34,-131.65,33.8,11.41
Namatanai,0,PG,1584157529,77,-3.67,152.43,83.86,12.35
Khovd,100,MN,1584157530,46,48.01,91.64,19.85,3.13
Santa Rosa,20,PH,1584157531,49,14.31,121.11,91.0,6.93
Kahului,90,US,1584157522,83,20.89,-156.47,73.4,8.05
Santa Cruz del Sur,5,CU,1584157533,78,20.71,-78.0,77.25,21.72
Ati,54,TD,1584157534,24,13.22,18.34,62.17,10.83
Tawao,20,MY,1584157535,66,4.25,117.89,89.6,9.17
Koslan,99,RU,1584157536,94,63.46,48.9,27.25,7.09
Acaraú,100,BR,1584157537,98,-2.89,-40.12,73.96,3.44
Torit,98,SS,1584157538,64,4.41,32.57,80.19,0.38
Pangnirtung,100,CA,1584157540,100,66.15,-65.71,-29.04,1.45
Guía de Isora,40,ES,1584157541,87,28.21,-16.78,66.0,5.82
Cabo San Lucas,75,MX,1584157542,60,22.89,-109.91,72.0,4.7
Impfondo,52,CG,1584157543,84,1.64,18.07,70.41,2.17
Quito,75,EC,1584157354,93,-0.23,-78.52,57.2,4.7
Sørland,90,NO,1584157545,57,67.67,12.69,30.09,15.43
Hay River,20,CA,1584157546,63,60.82,-115.8,-11.2,4.7
Vila Franca do Campo,20,PT,1584157547,82,37.72,-25.43,55.4,6.93
Samarai,100,PG,1584157550,59,-10.62,150.67,87.58,7.18
Mugur-Aksy,96,RU,1584157551,56,50.35,90.5,16.63,7.02
Zhuhai,12,CN,1584157553,73,22.28,113.57,75.99,13.87
Hatillo,75,PR,1584157554,85,18.49,-66.83,75.2,6.93
Udachny,0,RU,1584157555,70,66.42,112.4,-5.8,4.47
Daru,68,PG,1584157556,61,-9.08,143.21,89.17,7.92
Ostrovnoy,100,RU,1584157272,90,68.05,39.51,21.4,22.79
Yarim,34,YE,1584157558,63,14.3,44.38,56.64,6.04
Zhezkazgan,16,KZ,1584157559,85,47.8,67.71,19.4,8.95
Bud,1,US,1584157560,69,39.45,-86.18,42.01,4.76
Philippeville,20,BE,1584157562,86,50.2,4.54,39.99,4.7
Alanya,75,TR,1584157563,93,36.54,32.0,59.0,4.7
Batagay-Alyta,0,RU,1584157564,72,67.8,130.41,-11.88,5.21
Upernavik,100,GL,1584157565,97,72.79,-56.15,-11.34,3.89
São Félix do Xingu,93,BR,1584157569,96,-6.64,-51.99,72.45,0.63
Porto-Novo,40,BJ,1584157570,83,6.5,2.6,84.2,8.05
Sur,100,OM,1584157571,27,22.57,59.53,66.42,2.1
Sioux Lookout,75,CA,1584157310,72,50.1,-91.92,12.2,12.75
Mount Gambier,40,AU,1584157378,42,-37.83,140.77,64.4,20.8
Anuradhapura,0,LK,1584157574,66,8.36,80.42,80.82,8.57
Donghai,32,CN,1584157576,67,22.95,115.64,72.0,8.99
Ilongero,100,TZ,1584157578,98,-4.67,34.87,61.12,2.01
Matelândia,1,BR,1584157579,78,-25.24,-54.0,78.8,5.82
Boguchany,96,RU,1584157580,95,58.38,97.45,31.62,6.2
Linqiong,76,CN,1584157581,51,30.42,103.46,64.99,3.89
Sovetskiy,100,RU,1584157582,88,61.36,63.58,33.42,10.56
Departamento de Maldonado,0,UY,1584157583,64,-34.67,-54.92,75.2,12.75
Dickson,90,US,1584157584,45,36.08,-87.39,51.8,5.82
Bourail,100,NC,1584157586,77,-21.57,165.48,80.82,6.82
Tarakan,75,ID,1584157569,79,3.3,117.63,86.0,6.93
Kiruna,0,SE,1584157589,72,67.86,20.23,12.2,9.17
Ugoofaaru,0,MV,1584157590,77,5.67,73.0,83.77,13.67
Coyhaique,3,CL,1584157591,81,-45.58,-72.07,46.4,3.36
Cherskiy,100,RU,1584157592,90,68.75,161.3,-9.85,10.6
Nador,20,MA,1584157593,76,35.17,-2.93,57.2,4.7
Celestún,0,MX,1584157313,81,20.87,-90.4,76.87,26.44
Forssa,78,FI,1584157595,79,60.81,23.62,24.01,6.93
Ejido,95,VE,1584157597,94,8.55,-71.24,50.32,0.67
Wanaka,0,NZ,1584157599,35,-44.7,169.15,63.77,5.5
Kloulklubed,75,PW,1584157600,66,7.04,134.26,86.0,12.75
Siocon,9,PH,1584157601,72,7.71,122.14,82.27,8.66
Santander,0,ES,1584157602,93,43.46,-3.8,46.0,4.43
Port Blair,100,IN,1584157603,68,11.67,92.75,81.93,9.53
Filimonovo,6,RU,1584157604,79,56.2,95.46,31.23,6.51
Pabradė,90,LT,1584157605,97,55.0,25.78,36.0,12.75
Saint-Augustin,100,CA,1584157606,85,51.23,-58.65,17.22,21.34
Portland,75,US,1584157351,80,45.52,-122.68,41.0,6.93
Tra Vinh,24,VN,1584157409,53,9.93,106.35,88.05,10.71
Pundaguitan,3,PH,1584157610,73,6.37,126.17,81.28,8.12
San Ramon,40,US,1584157576,67,37.78,-121.98,57.2,12.75
Pochutla,40,MX,1584157612,74,15.74,-96.47,80.6,9.17
Kotli Loharan,40,PK,1584157613,82,32.59,74.49,55.4,6.93
Cândido Mendes,96,BR,1584157614,89,-1.45,-45.72,76.89,3.71
Druzhba,99,UA,1584157615,82,52.04,33.95,37.27,10.8
Guarapari,90,BR,1584157459,94,-20.67,-40.5,75.2,3.36
Nicoya,3,CR,1584157473,58,10.15,-85.45,82.4,11.41
Inhambane,20,MZ,1584157619,94,-23.86,35.38,73.4,4.92
Barra Patuca,0,HN,1584157623,74,15.8,-84.28,79.7,14.97
Pacific Grove,90,US,1584157624,76,36.62,-121.92,55.4,16.11
Kavaratti,20,IN,1584157625,69,10.57,72.64,82.4,4.7
Balkhash,87,KZ,1584157626,92,46.84,74.98,28.4,13.42
Moree,0,AU,1584157627,42,-29.47,149.85,82.4,8.05
Ganzhou,1,CN,1584157628,52,28.82,115.43,59.54,6.38
Petropavlovka,100,RU,1584157629,77,50.61,105.32,27.09,7.2
Yeppoon,0,AU,1584157630,35,-23.13,150.73,86.0,13.87
